Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Bangladesh,2018,"3,21E+16",731.941.263,1.963.312.441,4.532,163683958,1.161.378.463,72.567,27.8
India,2018,"2,70E+17",6.453.851.345,1.974.377.731,7.652,1369003306,1.087.527.722,70.71,31.3
Sri Lanka,2018,94493871201,2.310.084.252,4.360.584.735,4.318,21670000,755.904.689,75.748,6.5
Nepal,2018,33111525237,7.622.376.104,1.161.534.352,10.63,28506712,1.140.549.365,68.979,27.2
Pakistan,2018,"3,56E+16",6.151.702.611,1.620.742.591,4.083,219731479,1.537.172.403,66.482,57.3
Afghanistan,2019,18799444490,3.911.603.416,4.977.414.313,11.224,37769499,2.908.529.093,63.565,48.8
Bangladesh,2019,"3,51E+16",7.881.915.151,2.122.037.652,4.693,165516222,111.317.249,72.806,26.7
India,2019,"2,84E+17",3.871.436.941,20.501.638,6.51,1383112050,1.025.310.772,70.91,29.7
Sri Lanka,2019,89014978344,-220.483.886,4.082.694.049,4.67,21803000,611.875.946,76.008,6.2
Nepal,2019,34186180699,6.657.055.431,1.185.682.318,10.578,28832496,1.136.351.607,69.558,26
Pakistan,2019,"3,21E+16",2.497.636.929,1.437.165.833,4.83,223293280,1.607.981.347,66.756,55.7
Afghanistan,2020,19955929052,-2.351.100.672,512.055.098,11.71,38972230,3.134.746.908,62.575,47.4
Bangladesh,2020,"3,74E+16",3.448.017.551,2.233.767.282,5.828,167420951,114.420.974,71.968,25.7
India,2020,"2,67E+17",-5.777.724.707,1.915.551.588,7.859,1396387127,955.220.858,70.15,28.1
Sri Lanka,2020,84304298771,-4.624.515.816,3.846.174.496,5.365,21919000,53.062.656,76.393,6
Nepal,2020,33433659301,-2.369.620.629,1.139.189.895,13.157,29348627,1.774.268.056,69.246,24.9
Pakistan,2020,"3,00E+16",-1.274.087.443,1.322.314.785,6.162,227196741,173.302.782,66.269,54.1
Afghanistan,2021,14266499430,-2.073.883.937,3.557.778.264,11.934,40099462,2.851.357.654,61.982,46.1
Bangladesh,2021,"4,16E+16",6.938.679.124,2.457.964.466,5.815,169356251,1.149.318.476,72.381,24.9
India,2021,"3,17E+17",9.689.592.492,2.250.179.018,6.38,1407563842,797.216.094,67.24,26.8
Sri Lanka,2021,88609332762,4.207.485.977,3.999.338.002,5.258,22156000,1.075.449.957,76.399,5.7
Nepal,2021,36924841394,4.838.149.614,1.229.394.204,12.315,30034989,2.311.723.712,68.45,23.9
Pakistan,2021,"3,49E+16",6.513.885.759,1.506.108.293,6.338,231402117,1.834.062.082,66.098,52.5
Afghanistan,2022,14502158192,-6.240.171.992,3.526.037.331,14.1,41128771,2.534.498.317,62.879,44.8
Bangladesh,2022,"4,60E+16",7.099.828.776,2.687.899.063,5.247,171186372,1.074.836.743,73.698,24.1
India,2022,"3,35E+17",6.987.039.326,2.366.309.609,4.822,1417173173,680.372.581,67.744,25.5
Sri Lanka,2022,74144875098,-7.346.764.384,3.342.720.125,6.33,22181000,11.277.264,76.61,5.6
Nepal,2022,41182939601,5.631.314.559,134.815.719,10.922,30547580,1.692.246.601,70.484,23
Pakistan,2022,"3,75E+16",4.767.539.531,158.926.398,5.548,235824862,1.893.245.598,66.431,51
