Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Afghanistan,2019,18799444490,3.911.603.416,4.977.414.313,11.224,37769499,2.908.529.093,63.565,48.8
Bhutan,2019,2735683409,5.755.148.512,3.564.598.771,2.72,767459,701.252.584,71.391,22.1
Bangladesh,2019,"3,51E+16",7.881.915.151,2.122.037.652,4.693,165516222,111.317.249,72.806,26.7
India,2019,"2,84E+17",3.871.436.941,20.501.638,6.51,1383112050,1.025.310.772,70.91,29.7
Maldives,2019,5726094799,7.298.335.745,1.134.985.927,4.562,504508,296.723.054,80.116,6
Sri Lanka,2019,89014978344,-220.483.886,4.082.694.049,4.67,21803000,611.875.946,76.008,6.2
Nepal,2019,34186180699,6.657.055.431,1.185.682.318,10.578,28832496,1.136.351.607,69.558,26
Pakistan,2019,"3,21E+16",2.497.636.929,1.437.165.833,4.83,223293280,1.607.981.347,66.756,55.7
Afghanistan,2020,19955929052,-2.351.100.672,512.055.098,11.71,38972230,3.134.746.908,62.575,47.4
Bhutan,2020,2457604042,-1.021.839.742,3.181.339.747,05.03,772506,655.471.789,71.609,21.4
Bangladesh,2020,"3,74E+16",3.448.017.551,2.233.767.282,5.828,167420951,114.420.974,71.968,25.7
India,2020,"2,67E+17",-5.777.724.707,1.915.551.588,7.859,1396387127,955.220.858,70.15,28.1
Maldives,2020,3712604583,-3.290.882.878,7.216.816.377,5.404,514438,1.949.134.572,79.875,5.5
Sri Lanka,2020,84304298771,-4.624.515.816,3.846.174.496,5.365,21919000,53.062.656,76.393,6
Nepal,2020,33433659301,-2.369.620.629,1.139.189.895,13.157,29348627,1.774.268.056,69.246,24.9
Pakistan,2020,"3,00E+16",-1.274.087.443,1.322.314.785,6.162,227196741,173.302.782,66.269,54.1
Afghanistan,2021,14266499430,-2.073.883.937,3.557.778.264,11.934,40099462,2.851.357.654,61.982,46.1
Bhutan,2021,2768802803,4.421.367.389,3.561.225.287,4.804,777486,642.586.173,71.815,20.7
Bangladesh,2021,"4,16E+16",6.938.679.124,2.457.964.466,5.815,169356251,1.149.318.476,72.381,24.9
India,2021,"3,17E+17",9.689.592.492,2.250.179.018,6.38,1407563842,797.216.094,67.24,26.8
Maldives,2021,5254366312,3.768.719.229,1.007.631.753,5.021,521457,1.355.177.392,79.918,5.1
Sri Lanka,2021,88609332762,4.207.485.977,3.999.338.002,5.258,22156000,1.075.449.957,76.399,5.7
Nepal,2021,36924841394,4.838.149.614,1.229.394.204,12.315,30034989,2.311.723.712,68.45,23.9
Pakistan,2021,"3,49E+16",6.513.885.759,1.506.108.293,6.338,231402117,1.834.062.082,66.098,52.5
Afghanistan,2022,14502158192,-6.240.171.992,3.526.037.331,14.1,41128771,2.534.498.317,62.879,44.8
Bhutan,2022,2898227713,5.213.867.838,3.704.018.395,5.947,782455,637.077.531,72.229,20.1
Bangladesh,2022,"4,60E+16",7.099.828.776,2.687.899.063,5.247,171186372,1.074.836.743,73.698,24.1
India,2022,"3,35E+17",6.987.039.326,2.366.309.609,4.822,1417173173,680.372.581,67.744,25.5
Maldives,2022,6170638746,1.390.667.638,1.178.081.691,4.424,523787,445.829.655,80.839,4.8
Sri Lanka,2022,74144875098,-7.346.764.384,3.342.720.125,6.33,22181000,11.277.264,76.61,5.6
Nepal,2022,41182939601,5.631.314.559,134.815.719,10.922,30547580,1.692.246.601,70.484,23
Pakistan,2022,"3,75E+16",4.767.539.531,158.926.398,5.548,235824862,1.893.245.598,66.431,51
Afghanistan,2023,0,0,0,14.386,42239854,2.665.628.202,0,0
Bhutan,2023,0,0,0,5.653,787424,633.044.533,0,0
Bangladesh,2023,"4,37E+16",577.511.237,2.529.080.127,05.06,172954319,1.027.464.987,0,0
India,2023,"3,55E+17",7.583.971.124,2.484.845.429,4.172,1428627663,805.014.301,0,0
Maldives,2023,6600000000,3.972.795.846,1.266.743.567,4.127,521021,-529.476.509,0,0
Sri Lanka,2023,84356860421,-2.298.045.112,3.827.964.806,6.36,22037000,-65.132.077,0,0
Nepal,2023,40908073367,1.952.544.633,1.324.031.984,10.685,30896590,1.136.035.375,0,0
Pakistan,2023,"3,38E+16",-4.855.269,1.407.021.351,5.499,240485658,1.957.103.432,0,0
